col_oslnp,col_29p4d,col_4bzl7,col_g4elm,col_0l637,col_3zius,col_k7ayf,col_eph8l,col_9t29s,col_4gmox,col_l4kuj,col_lyhls,col_ky2iy,col_gkyng,col_q01lh,col_fe2jd,col_b0oll,col_dwe97,col_q9rrk,col_mkc8l,col_sxciu,col_ahvgp,col_2me64,col_eo0va,col_6v7c9,col_md150,col_grbeg,col_jleb4,col_hc7wj,col_eun3m,col_m74pu,col_ghi4z,col_y88mx,col_wv5nq,col_ur3w6,col_dyf88,col_i6wfm,col_riwps,col_rj5ld,col_be67j,col_0jjaa,target
22.0,62.0,30.0,36.5,20.48,737.0,2.0586592178771,1.73,0.815642458100559,0.2,3.0,5.0,1.89,317.0,438.0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,1,1,0,0
44.0,118.0,35.0,5.8,9.8,664.0,2.32262569832402,16.0,0.59126984,0.2,2.5,2.5,1.89,317.0,149.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,1,1,0.0,1,0.0,0,0,1.0,1,0,0,0
30.0,5.0,1.0,10.24,23.1,1533.0,4.28212290502793,0.913,0.477653631284916,0.2,3.5,1.5,0.9,171.0,171.0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0,0,0,0
52.0,141.0,30.0,49.5,30.5,654.3,2.59642857142857,0.9,0.86666666666667,0.2,2.5,1.5,1.89,317.0,195.0,0,0,1,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0,0,1,1,0.0,1,0.0,0,0,1.0,0,0,0,0
30.0,132.0,54.0,50.0,80.0,821.0,2.29329608938547,0.42,0.493775933609959,0.2,1.0,1.0,0.1,135.0,119.0,0,0,0,1,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0.0,1,0,1.0,0,0,0,0
33.0,52.0,30.0,5.8,9.8,664.0,2.32262569832402,0.33,0.7322,0.15,5.0,2.0,0.12,320.0,186.0,0,1,0,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1.0,0,0.0,0,0,1.0,0,0,0,1
24.0,228.0,38.0,21.4,15.9,618.0,1.72625698324022,1.23,1.04975124378109,0.1,0.0,50.0,1.89,317.0,211.0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0,0,1,1,0.0,1,0.125,0,0,1.0,0,0,0,0
25.0,142.0,15.0,5.8,33.5,1477.0,4.12569832402235,0.314,0.363128491620112,0.1,3.5,5.0,0.51,317.0,130.0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,1,0.0,1,0,1.0,0,1,0,0
43.0,56.0,6.0,0.71,1.4,442.0,1.23463687150838,4.4,0.479838709677419,0.1,2.5,4.5,1.89,317.0,119.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0,0.0,1,0,0.0,0,0,0,0
24.0,34.0,24.0,3.14,5.4,976.0,2.72625698324022,0.4,0.639664804469274,0.1,4.5,3.5,1.89,317.0,150.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0
22.0,11.0,20.0,17.4,34.1,777.6,2.17206703910615,8.6,1.46927374301676,0.1,4.0,3.0,0.585,246.0,526.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0,0.0,1,0,1.0,1,1,0,0
43.0,148.0,30.0,5.8,9.411,1155.0,4.066901408450704,2.7,1.53,0.1,3.0,2.5,13.9,640.0,306.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,1,0.125,1,0,1.0,1,1,0,0
34.0,120.0,16.0,3.08,3.3,359.0,1.00279329608939,0.625,0.491620111731844,0.1,1.5,2.5,1.89,317.0,164.0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,1.0,1,0.0,0,0,1.0,0,0,0,0
40.0,87.0,12.0,22.9,76.0,1446.0,5.091549295774648,18.0,0.540816326530612,0.1,1.5,2.5,1.89,317.0,106.0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,1,0,0,0
